Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,Stanford Cars,efficient adaptive ensembling,99.84,1.0,,[],2206.07394v3
Image Classification,Stanford Cars,TResNet-L-V2,96.32,0.8924862553451433,,[],2104.10972v4
Image Classification,Stanford Cars,EfficientNetV2-L,95.1,0.8552229688454488,,['EfficientNet'],2104.00298v3
Image Classification,Stanford Cars,EfficientNetV2-M,94.6,0.8399511301160657,,['EfficientNet'],2104.00298v3
Image Classification,Stanford Cars,CaiT-M-36 U 224,94.2,0.8277336591325596,,[],2103.17239v2
Image Classification,Stanford Cars,ImageNet + iNat on WS-DAN,94.1,0.8246792913866827,,[],2010.03071v1
Image Classification,Stanford Cars,CeiT-S (384 finetune resolution),94.1,0.8246792913866827,,[],2103.11816v2
Image Classification,Stanford Cars,EfficientNetV2-S,93.8,0.815516188149053,,['EfficientNet'],2104.00298v3
Image Classification,Stanford Cars,CeiT-S,93.2,0.7971899816737935,,[],2103.11816v2
Image Classification,Stanford Cars,GFNet-H-B,93.2,0.7971899816737935,,[],2107.00645v2
Image Classification,Stanford Cars,CeiT-T (384 finetune resolution),93.0,0.7910812461820402,,[],2103.11816v2
Image Classification,Stanford Cars,TransBoost-ResNet50,90.8,0.7238851557727549,,[],2205.13331v4
Image Classification,Stanford Cars,CeiT-T,90.5,0.7147220525351252,,[],2103.11816v2
Image Classification,Stanford Cars,LeViT-192,89.8,0.6933414783139888,,[],2104.01136v2
Image Classification,Stanford Cars,ResMLP-24,89.5,0.6841783750763591,,[],2105.03404v2
Image Classification,Stanford Cars,LeViT-384,89.3,0.6780696395846059,,[],2104.01136v2
Image Classification,Stanford Cars,LeViT-128,88.6,0.6566890653634696,,[],2104.01136v2
Image Classification,Stanford Cars,LeViT-128S,88.4,0.6505803298717168,,[],2104.01136v2
Image Classification,Stanford Cars,LeViT-256,88.2,0.6444715943799634,,[],2104.01136v2
Image Classification,Stanford Cars,ResMLP-12,84.6,0.5345143555284054,,[],2105.03404v2
Image Classification,Stanford Cars,NNCLR,67.1,0.0,,[],2104.14548v2
Image Classification,JFT 300M,V-MoE-H/14 (Every-2),60.62,1.0,,['Transformer'],2106.05974v1
Image Classification,JFT 300M,V-MoE-H/14 (Last-5),60.12,0.8730964467005076,,['Transformer'],2106.05974v1
Image Classification,JFT 300M,V-MoE-L/16 (Every-2),57.65,0.246192893401015,,['Transformer'],2106.05974v1
Image Classification,JFT 300M,VIT-H/14,56.68,0.0,,['Transformer'],2106.05974v1
Depth Estimation,KITTI,FutureDepth,0.041,1.0,,[],2403.12953v1
Depth Estimation,KITTI,UniDepth (Zero-shot),0.042,0.993421052631579,,[],2403.18913v1
Depth Estimation,KITTI,SQLdepth (ConvNeXt-L),0.043,0.986842105263158,,[],2309.00526v1
Depth Estimation,KITTI,AFNet,0.044,0.9802631578947372,,[],2403.07535v1
Depth Estimation,KITTI,Depth Anything,0.046,0.9671052631578948,,[],2401.10891v2
Depth Estimation,KITTI,MetaPrompt-SD,0.047,0.9605263157894738,,[],2312.14733v1
Depth Estimation,KITTI,ECoDepth,0.048,0.9539473684210528,,[],2403.18807v3
Depth Estimation,KITTI,EVP,0.048,0.9539473684210528,,[],2312.08548v1
Depth Estimation,KITTI,GEDepth,0.048,0.9539473684210528,,[],2309.09975v1
Depth Estimation,KITTI,MAMo,0.049,0.9473684210526316,,[],2307.14336v2
Depth Estimation,KITTI,SwinV2-L 1K-MIM,0.05,0.9407894736842106,,[],2205.13543v2
Depth Estimation,KITTI,IEBins,0.05,0.9407894736842106,,[],2309.14137v1
Depth Estimation,KITTI,NDDepth,0.05,0.9407894736842106,,[],2309.10592v2
Depth Estimation,KITTI,URCDC-Depth,0.05,0.9407894736842106,,[],2302.08149v2
Depth Estimation,KITTI,iDisc,0.05,0.9407894736842106,,[],2304.06334v1
Depth Estimation,KITTI,"DDP (Swin-L, step-3)",0.05,0.9407894736842106,,[],2303.17559v2
Depth Estimation,KITTI,PixelFormer,0.051,0.9342105263157896,,[],2210.09071v1
Depth Estimation,KITTI,SwinV2-B 1K-MIM,0.052,0.9276315789473686,,[],2205.13543v2
Depth Estimation,KITTI,BinsFormer,0.052,0.9276315789473686,,[],2204.00987v1
Depth Estimation,KITTI,NeWCRFs,0.052,0.9276315789473686,,[],2203.01502v2
Depth Estimation,KITTI,DepthFormer,0.052,0.9276315789473686,,[],2203.14211v1
Depth Estimation,KITTI,MonoDELSNet,0.053,0.9210526315789476,,[],2103.12209v3
Depth Estimation,KITTI,SfM-Revisited,0.055,0.9078947368421052,,[],2104.00556v1
Depth Estimation,KITTI,GLPDepth,0.057,0.8947368421052633,,[],2201.07436v3
Depth Estimation,KITTI,NVS-MonoDepth,0.057,0.8947368421052633,,[],2112.12577v1
Depth Estimation,KITTI,Depthformer,0.058,0.8881578947368421,,[],2207.04535v2
Depth Estimation,KITTI,AdaBins,0.058,0.8881578947368421,,[],2011.14141v1
Depth Estimation,KITTI,Metric3D (zero-shot),0.058,0.8881578947368421,,[],2307.10984v1
Depth Estimation,KITTI,DPT-Hybrid,0.062,0.861842105263158,,[],2103.13413v1
Depth Estimation,KITTI,BTS,0.064,0.8486842105263158,,[],1907.10326v6
Depth Estimation,KITTI,"DINOv2 (ViT-g/14 frozen, w/ DPT decoder)",0.0652,0.8407894736842108,,[],2304.07193v2
Depth Estimation,KITTI,LightDepth,0.07,0.8092105263157895,,[],2211.08608v2
Depth Estimation,KITTI,DORN,0.072,0.7960526315789475,,[],1806.02446v1
Depth Estimation,KITTI,VNL,0.072,0.7960526315789475,,[],1907.12209v2
Depth Estimation,KITTI,DSN,0.075,0.7763157894736843,,[],2010.06626v2
Depth Estimation,KITTI,VOMonodepth,0.091,0.6710526315789475,,[],1908.03127v2
Depth Estimation,KITTI,DenseDepth,0.093,0.6578947368421053,,[],1812.11941v2
Depth Estimation,KITTI,SVS,0.094,0.6513157894736843,,[],1803.02612v2
Depth Estimation,KITTI,monoResMatch,0.096,0.6381578947368421,,[],1904.04144v1
Depth Estimation,KITTI,SemiDepth,0.096,0.6381578947368421,,[],1905.07542v1
Depth Estimation,KITTI,CFA,0.096,0.6381578947368421,,[],1803.08018v2
Depth Estimation,KITTI,Depth Hints,0.096,0.6381578947368421,,[],1909.09051v1
Depth Estimation,KITTI,SOM,0.097,0.6315789473684211,,[],1909.04594v1
Depth Estimation,KITTI,Marigold,0.099,0.618421052631579,,[],2312.02145v2
Depth Estimation,KITTI,GCNDepth,0.104,0.5855263157894738,,[],2112.06782v1
